Name,Input Shape
triton_poi_fused__scaled_dot_product_fused_attention_overrideable_add_cat_clone_mul_scalar_tensor_where_3,"[[512, 2048], [4, 64, 128], [], [4, 16, 128, 128], [], []]"
triton_poi_fused__scaled_dot_product_fused_attention_overrideable_add_cat_clone_mul_scalar_tensor_where_4,"[[4, 2, 128, 128], [4, 16, 128, 128], [], []]"
triton_poi_fused__scaled_dot_product_fused_attention_overrideable_add_cat_clone_mul_scalar_tensor_where_4,"[[512, 256], [4, 16, 128, 128], [], []]"
triton_poi_fused__scaled_dot_product_fused_attention_overrideable_add_cat_clone_mul_scalar_tensor_where_5,"[[128], [4, 128], [4, 1, 128, 128], [4, 1, 128, 128], [], []]"
triton_poi_fused__scaled_dot_product_fused_attention_overrideable_add_cat_mul_scalar_tensor_where_4,"[[4, 2048], [4, 64, 1], [], [4, 16, 1, 128], [], []]"
triton_poi_fused__scaled_dot_product_fused_attention_overrideable_add_cat_mul_scalar_tensor_where_5,"[[4, 2, 129, 128], [4, 16, 129, 128], [], []]"
triton_poi_fused__scaled_dot_product_fused_attention_overrideable_add_cat_mul_scalar_tensor_where_6,"[[1], [4, 129], [4, 1, 1, 129], [4, 1, 1, 129], [], [], []]"
triton_poi_fused__to_copy_1,"[[4, 128], [4, 1, 128], [], []]"
triton_poi_fused__to_copy_1,"[[4, 1], [4, 1, 1], [], []]"
triton_poi_fused_add_cat_mul_2,"[[512, 256], [4, 64, 128], [], [4, 2, 128, 128], [], [], [], []]"
triton_poi_fused_cat_2,"[[4, 2, 128, 128], [4, 256], [4, 64, 1], [], [4, 2, 129, 128], [], []]"
triton_poi_fused_cat_3,"[[4, 2, 128, 128], [4, 256], [4, 2, 129, 128], [], []]"
triton_poi_fused_clone_6,"[[4, 16, 128, 128], [4, 128, 16, 128], [], []]"
triton_poi_fused_mul_silu_8,"[[4, 128, 128], [512, 128], [], []]"
triton_poi_fused_mul_silu_8,"[[4, 1, 128], [4, 128], [], []]"
triton_red_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_10,"[[4, 128, 2048], [4, 128], [128256, 2048], [512, 2048], [512, 2048], [2048], [], [4, 128, 2048], [], [], [], []]"
triton_red_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_10,"[[4, 1, 2048], [4, 1], [128256, 2048], [4, 2048], [4, 2048], [2048], [], [4, 1, 2048], [], [], [], []]"
triton_red_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_7,"[[4, 128], [128256, 2048], [512, 2048], [2048], [], [4, 128, 2048], [], [], [], []]"
triton_red_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_7,"[[4, 1], [128256, 2048], [4, 2048], [2048], [], [4, 1, 2048], [], [], [], []]"
triton_red_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_9,"[[4, 128], [128256, 2048], [512, 2048], [512, 2048], [2048], [], [4, 128, 2048], [], [], [], []]"
triton_red_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_9,"[[4, 1], [128256, 2048], [4, 2048], [4, 2048], [2048], [], [4, 1, 2048], [], [], [], []]"
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_11,"[[4, 128, 2048], [512, 2048], [2048], [], [], [], [], []]"
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_11,"[[4, 1, 2048], [4, 2048], [2048], [], [], [], [], []]"
triton_red_fused__to_copy_embedding_mean_mul_pow_rsqrt_0,"[[4, 128], [128256, 2048], [2048], [], [4, 128, 2048], [], [], [], []]"
triton_red_fused__to_copy_embedding_mean_mul_pow_rsqrt_0,"[[4, 1], [128256, 2048], [2048], [], [4, 1, 2048], [], [], [], []]"
