Name,Input Shape
triton_poi_fused__scaled_dot_product_fused_attention_overrideable_add_cat_clone_mul_scalar_tensor_where_3,"[[4096, 4096], [4, 64, 1024], [], [4, 32, 1024, 128], [], []]"
triton_poi_fused__scaled_dot_product_fused_attention_overrideable_add_cat_clone_mul_scalar_tensor_where_4,"[[4, 4, 1024, 128], [4, 32, 1024, 128], [], []]"
triton_poi_fused__scaled_dot_product_fused_attention_overrideable_add_cat_clone_mul_scalar_tensor_where_4,"[[4096, 512], [4, 32, 1024, 128], [], []]"
triton_poi_fused__scaled_dot_product_fused_attention_overrideable_add_cat_clone_mul_scalar_tensor_where_5,"[[1024], [4, 1024], [4, 1, 1024, 1024], [4, 1, 1024, 1024], [], []]"
triton_poi_fused__scaled_dot_product_fused_attention_overrideable_add_cat_mul_scalar_tensor_where_4,"[[4, 4096], [4, 64, 1], [], [4, 32, 1, 128], [], []]"
triton_poi_fused__scaled_dot_product_fused_attention_overrideable_add_cat_mul_scalar_tensor_where_5,"[[4, 4, 1025, 128], [4, 32, 1025, 128], [], []]"
triton_poi_fused__scaled_dot_product_fused_attention_overrideable_add_cat_mul_scalar_tensor_where_6,"[[1], [4, 1025], [4, 1, 1, 1025], [4, 1, 1, 1025], [], [], []]"
triton_poi_fused__to_copy_1,"[[4, 1], [4, 1, 1], [], []]"
triton_poi_fused__to_copy_1,"[[4, 1024], [4, 1, 1024], [], []]"
triton_poi_fused_add_cat_mul_2,"[[4096, 512], [4, 64, 1024], [], [4, 4, 1024, 128], [], [], [], []]"
triton_poi_fused_cat_2,"[[4, 4, 1024, 128], [4, 512], [4, 64, 1], [], [4, 4, 1025, 128], [], []]"
triton_poi_fused_cat_3,"[[4, 4, 1024, 128], [4, 512], [4, 4, 1025, 128], [], []]"
triton_poi_fused_clone_6,"[[4, 32, 1024, 128], [4, 1024, 32, 128], [], []]"
triton_poi_fused_mul_silu_8,"[[4, 1, 2048], [4, 2048], [], []]"
triton_poi_fused_mul_silu_8,"[[4, 1024, 2048], [4096, 2048], [], []]"
triton_red_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_10,"[[4, 1, 4096], [4, 1], [128256, 4096], [4, 4096], [4, 4096], [4096], [], [4, 1, 4096], [], [], [], []]"
triton_red_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_10,"[[4, 1024, 4096], [4, 1024], [128256, 4096], [4096, 4096], [4096, 4096], [4096], [], [4, 1024, 4096], [], [], [], []]"
triton_red_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_7,"[[4, 1], [128256, 4096], [4, 4096], [4096], [], [4, 1, 4096], [], [], [], []]"
triton_red_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_7,"[[4, 1024], [128256, 4096], [4096, 4096], [4096], [], [4, 1024, 4096], [], [], [], []]"
triton_red_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_9,"[[4, 1], [128256, 4096], [4, 4096], [4, 4096], [4096], [], [4, 1, 4096], [], [], [], []]"
triton_red_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_9,"[[4, 1024], [128256, 4096], [4096, 4096], [4096, 4096], [4096], [], [4, 1024, 4096], [], [], [], []]"
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_11,"[[4, 1, 4096], [4, 4096], [4096], [], [], [], [], []]"
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_11,"[[4, 1024, 4096], [4096, 4096], [4096], [], [], [], [], []]"
triton_red_fused__to_copy_embedding_mean_mul_pow_rsqrt_0,"[[4, 1], [128256, 4096], [4096], [], [4, 1, 4096], [], [], [], []]"
triton_red_fused__to_copy_embedding_mean_mul_pow_rsqrt_0,"[[4, 1024], [128256, 4096], [4096], [], [4, 1024, 4096], [], [], [], []]"
